Workout Timestamp,Live/On-Demand,Instructor Name,Length (minutes),Fitness Discipline,Type,Title,Class Timestamp,Total Output,Avg. Watts,Avg. Resistance,Avg. Cadence (RPM),Avg. Speed (mph),Distance (mi),Calories Burned,Avg. Heartrate,Avg. Incline,Avg. Pace (min/mi)
2018-01-11 00:30 (UTC),Live,Emma Lovewell,45,Cycling,Groove,45 min Groove Ride,2018-01-11 00:20 (UTC),209,77,42%,61,14.23,10.67,421,,,
2018-01-12 14:30 (UTC),Live,Ally Love,45,Cycling,Music,45 min 90s Ride,2018-01-12 14:19 (UTC),233,86,37%,75,15.15,11.36,455,,,
2018-01-16 13:00 (UTC),Live,Jenn Sherman,45,Cycling,Music,45 min 60s Rock Ride,2018-01-16 12:49 (UTC),225,84,37%,73,14.65,10.89,434,,,
2018-01-17 18:30 (UTC),Live,Ally Love,30,Cycling,Music,30 min 80s Pop Ride,2018-01-17 18:20 (UTC),154,86,36%,82,15.10,7.55,302,,,
2018-01-19 00:30 (UTC),Live,Denis Morton,45,Cycling,Music,45 min 80s Ride,2018-01-19 00:20 (UTC),263,98,41%,71,15.75,11.80,485,,,
2018-01-19 16:30 (UTC),Live,Ally Love,30,Cycling,Music,30 min Country Ride,2018-01-19 16:19 (UTC),183,102,41%,73,16.19,8.09,334,,,
2018-02-05 17:30 (UTC),Live,Jennifer Jacobs,30,Cycling,Intervals,30 min Intervals & Arms Ride,2018-02-05 17:19 (UTC),152,84,43%,62,14.42,7.20,289,,,
2018-02-10 19:00 (UTC),Live,Hannah Corbin,30,Cycling,Intervals,30 min HIIT Ride,2018-02-10 18:49 (UTC),192,107,38%,83,16.36,8.17,344,,,
2018-02-14 15:30 (UTC),Live,Jennifer Jacobs,30,Cycling,Music,30 min 80s Pop Ride,2018-02-14 15:20 (UTC),181,101,41%,74,16.16,8.06,332,,,
2018-02-14 16:05 (UTC),Live,Jennifer Jacobs,10,Cycling,Warm Up/Cool Down,10 min Cool Down Ride,2018-02-14 16:01 (UTC),46,80,36%,77,14.76,2.33,92,,,
2018-02-16 00:30 (UTC),Live,Jenn Sherman,45,Cycling,Music,45 min 70s Rock Ride,2018-02-16 00:21 (UTC),244,91,37%,78,15.17,11.36,459,,,
2018-02-17 19:00 (UTC),Live,Hannah Corbin,30,Cycling,Music,30 min Pop Ride,2018-02-17 18:50 (UTC),183,102,39%,78,16.02,7.99,331,,,
2018-02-20 00:30 (UTC),Live,Jess King,45,Cycling,Metrics,45 min Metrics Ride,2018-02-20 00:18 (UTC),265,98,40%,75,15.77,11.81,485,,,
2018-02-21 15:30 (UTC),Live,Denis Morton,30,Cycling,Intervals,30 min Intervals & Arms Ride,2018-02-21 15:19 (UTC),163,91,40%,71,15.08,7.53,307,,,
2018-02-21 16:05 (UTC),Live,Denis Morton,10,Cycling,Warm Up/Cool Down,10 min Cool Down Ride,2018-02-21 16:02 (UTC),42,71,28%,98,13.99,2.33,91,,,
2018-02-23 00:30 (UTC),Live,Denis Morton,45,Cycling,Music,45 min 80s Ride,2018-02-23 00:20 (UTC),265,98,39%,77,15.77,11.83,487,,,
2018-02-26 12:00 (UTC),Live,Emma Lovewell,45,Cycling,Music,45 min New Tracks Ride,2018-02-26 11:49 (UTC),255,94,40%,74,15.32,11.49,470,,,
2018-02-27 23:30 (UTC),Live,Jess King,45,Cycling,Music,45 min 90s Rock Ride,2018-02-27 23:19 (UTC),265,98,39%,77,15.95,11.96,491,,,
2018-02-28 15:30 (UTC),Live,Denis Morton,30,Cycling,Music,30 min Y2K Rock Ride,2018-02-28 15:19 (UTC),171,95,37%,81,15.58,7.79,320,,,
2018-02-28 16:05 (UTC),Live,Denis Morton,10,Strength,Arms & Light Weights,10 min Arms Toning,2018-02-28 16:01 (UTC),,,,,,,48,,,
2018-03-01 17:30 (UTC),Live,Emma Lovewell,30,Cycling,Music,30 min Hip Hop Ride,2018-03-01 17:20 (UTC),160,89,36%,82,15.31,7.65,308,,,
2018-03-01 18:30 (UTC),Live,Ally Love,30,Cycling,Music,30 min 80s Pop Ride,2018-03-01 18:30 (UTC),172,96,40%,74,15.76,7.88,322,,,
2018-03-02 17:30 (UTC),Live,Denis Morton,30,Cycling,Music,30 min 90s Pop Ride,2018-03-02 17:21 (UTC),173,96,40%,73,15.58,7.78,320,,,
2018-03-02 18:30 (UTC),Live,Robin Arzon,30,Cycling,Beginner,30 min Advanced Beginner Ride,2018-03-02 18:19 (UTC),161,90,38%,74,15.25,7.62,308,,,
2018-03-04 22:00 (UTC),Live,Cody Rigsby,45,Cycling,Live DJ,45 min Live DJ Ride,2018-03-04 21:50 (UTC),267,99,42%,70,15.83,11.87,490,,,
2018-03-05 23:30 (UTC),Live,Alex Toussaint,45,Cycling,Music,45 min Hip Hop Ride,2018-03-05 23:20 (UTC),271,100,41%,75,16.08,12.05,496,,,
2018-03-08 16:30 (UTC),Live,Christine D'Ercole,30,Cycling,Music,30 min 80s Ride,2018-03-08 16:19 (UTC),205,114,45%,70,16.67,8.33,357,,,
2018-03-08 17:30 (UTC),Live,Christine D'Ercole,30,Cycling,Low Impact,30 min Low Impact Ride,2018-03-08 17:18 (UTC),193,108,40%,77,16.32,8.15,343,,,
2018-03-09 12:00 (UTC),Live,Alex Toussaint,45,Cycling,Metrics,45 min Metrics Ride,2018-03-09 11:49 (UTC),334,124,44%,76,17.41,13.05,566,,,
2018-03-10 20:23 (UTC),Live,Alex Toussaint,30,Cycling,Intervals,30 min HIIT Ride,2018-03-10 20:20 (UTC),0,0,0%,0,0,0,0,,,
2018-03-10 21:15 (UTC),Live,Hannah Corbin,30,Cycling,Intervals,30 min HIIT Ride,2018-03-10 21:04 (UTC),197,110,42%,76,16.54,8.26,349,,,
2018-03-12 13:30 (UTC),Live,Christine D'Ercole,45,Cycling,Theme,45 min Crank It Up Ride,2018-03-12 13:19 (UTC),285,106,43%,71,16.30,12.17,508,,,
2018-03-13 11:00 (UTC),Live,Ally Love,45,Cycling,Music,45 min 80s Pop Ride,2018-03-13 10:49 (UTC),311,115,44%,73,16.91,12.68,541,,,
2018-03-16 11:00 (UTC),Live,Ally Love,45,Cycling,Music,45 min New Tracks Ride,2018-03-16 10:48 (UTC),271,109,41%,77,16.55,11.41,480,,,
2018-03-17 18:00 (UTC),Live,Jess King,30,Cycling,Music,30 min 80s Ride,2018-03-17 17:49 (UTC),222,123,42%,80,17.45,8.72,377,,,
2018-03-17 18:45 (UTC),Live,Jess King,30,Cycling,Beginner,30 min Advanced Beginner Ride,2018-03-17 18:36 (UTC),217,121,43%,77,17.33,8.66,371,,,
2018-03-19 11:00 (UTC),Live,Emma Lovewell,45,Cycling,Metrics,45 min Metrics Ride,2018-03-19 10:49 (UTC),297,110,42%,75,16.53,12.39,524,,,
2018-03-22 23:30 (UTC),Live,Denis Morton,45,Cycling,Music,45 min 90s Rock Ride,2018-03-22 23:19 (UTC),291,108,42%,73,16.35,12.25,516,,,
2018-03-23 11:00 (UTC),Live,Jess King,45,Cycling,Music,45 min Pop Ride,2018-03-23 10:48 (UTC),302,112,43%,72,16.62,12.47,528,,,
2018-03-24 18:00 (UTC),Live,Jess King,30,Cycling,Low Impact,30 min Low Impact Ride,2018-03-24 17:50 (UTC),212,118,40%,83,17.26,8.62,366,,,
